ID salarié,Nom,Prénom,Date de naissance,BU,Date d'embauche,Salaire brut,Type de contrat,Nombre de jours de CP,Adresse du domicile,Moyen de déplacement,Pratique d'un sport,Distance domicile-entreprise (km),distance_limit,transport_eligible,bonus,Nombre d'activités,Éligible jours bien-être,Jours bien-être accordés
59019,Colin,Audrey,1990-07-06,Marketing,2020-12-14,30940,CDI,29,"128 Rue du Port, 34000 Frontignan",Transports en commun,Aucune,26.21,,False,0.0,0,False,0
19841,Ledoux,Monique,1962-01-06,R&D,2020-07-07,74360,CDI,26,"68 Rue du Port, 34970 Saint-Clément-de-Rivière",Véhicule thermique/électrique,Aucune,21.02,,False,0.0,0,False,0
56482,Dumont,Michelle,1976-08-09,Ventes,2022-03-29,51390,CDI,27,"100 Av. de la Gare, 30900 Nîmes",Véhicule thermique/électrique,Tennis,48.72,,False,0.0,102,True,5
21886,Toussaint,Judith,1962-09-10,Support,2021-12-12,70320,CDI,29,"53 Av. de la Gare, 34970 Lattes",Marche,Aucune,1.63,15.0,True,3516.0,0,False,0
81001,Bailly,Michelle,1975-04-20,Ventes,2025-02-19,46870,CDD,29,"74 Rue des Fleurs, 34970 Lattes",Marche,Aucune,0.38,15.0,True,2343.5,0,False,0
17757,Bazin,Margaret,1982-11-24,Support,2023-04-17,31460,CDI,25,"Av. de La Mer, 34470 Pérols",Vélo/Trottinette/Autres,Badminton,6.34,25.0,True,1573.0,106,True,5
17036,Jacques,Julien,1970-12-19,Marketing,2021-08-21,72480,CDI,29,"28 Rue du Port, 34140 Mèze",Véhicule thermique/électrique,Escalade,38.53,,False,0.0,33,True,5
36913,Pons,Brigitte,1977-12-27,Finance,2020-05-26,59790,CDI,28,"169 Rue Jean Jaures, 34730 Prades-le-Lez",Transports en commun,Aucune,19.68,,False,0.0,0,False,0
79006,Rousset,Jérome,1979-02-01,R&D,2020-09-07,29240,CDI,28,"44 Rue Jean Jaures, 34730 Prades-le-Lez",Véhicule thermique/électrique,Aucune,20.3,,False,0.0,0,False,0
62296,Chauvin,Zakaria,1987-10-02,Finance,2024-11-23,68680,CDD,26,"31 Av. Grassion Cibrand, 34130 Mauguio",Vélo/Trottinette/Autres,Aucune,8.16,25.0,True,3434.0,0,False,0
90284,Chartier,Aurélie,1999-01-26,Marketing,2025-01-02,56400,CDI,29,"136 Rue des Grottes, 34130 Mauguio",Véhicule thermique/électrique,Randonnée,8.23,,False,0.0,108,True,5
83440,Maillard,Augustin,1987-03-05,R&D,2023-10-27,31030,CDI,28,"38 Rue du Muscadet, 34090 Montpellier",Transports en commun,Triathlon,12.14,,False,0.0,204,True,5
18246,Tessier,Francoise,1986-11-11,Ventes,2025-01-11,30680,CDI,28,"181 Av. de la Gare, 34970 Lattes",Vélo/Trottinette/Autres,Aucune,1.54,25.0,True,1534.0,0,False,0
33386,Neveu,Yves,1998-11-18,R&D,2020-08-14,50170,CDI,28,"24 Rue de la Cadoule, 34740 Vendargues",Véhicule thermique/électrique,Randonnée,13.46,,False,0.0,107,True,5
19773,Fischer,Benoit,1981-03-31,Support,2025-03-24,62670,CDI,25,"110 Rue de la République, 34000 Montpellier",Véhicule thermique/électrique,Aucune,6.63,,False,0.0,0,False,0
70643,Rodriguez,Antoine,1982-03-11,Finance,2021-01-12,29440,CDI,26,"1037 Val des Sources, 34090 Montpellier",Vélo/Trottinette/Autres,Aucune,8.5,25.0,True,1472.0,0,False,0
25701,Foucher,Eugénie,1971-04-25,Finance,2021-06-22,56470,CDI,25,"63 Rue du Marché, 34800 Clermont-l'Hérault",Véhicule thermique/électrique,Runing,57.58,,False,0.0,27,True,5
99514,Olivier,Léon,1962-03-01,Support,2025-02-02,67110,CDI,29,"1 Rue Gerhardt, 34000 Montpellier",Transports en commun,Aucune,7.68,,False,0.0,0,False,0
43124,Laole,Francoise,1970-07-01,Ventes,2021-05-25,44040,CDI,28,"121 Bis Rue des Carignans, 34790 Grabels",Véhicule thermique/électrique,Équitation,16.19,,False,0.0,29,True,5
56632,Evrard,Claire,1970-05-03,Finance,2021-03-10,62760,CDI,25,"70 Av. Jean Jaurès, 30900 Nîmes",Véhicule thermique/électrique,Voile,49.61,,False,0.0,203,True,5
28160,Humbert,Victor,1972-04-26,Marketing,2024-09-28,33620,CDI,25,"38 Plan des Arbousiers, 34970 Lattes",Vélo/Trottinette/Autres,Aucune,7.43,25.0,True,1681.0,0,False,0
